Address:,USB0::0x0957::0x1798::MY56272288::0::INSTR,,Analog Channels,,,
Model:,DSO-X 2014A,,Time (s),1 (VOLT),3 (VOLT),
,,,-2.4034E-05,-0.0281407237052917,-0.547738676890731,
,,,-2.20180000000001E-05,-0.0281407237052917,-0.547738676890731,
,,,-2.00020000000001E-05,-0.0281407237052917,-0.547738676890731,
,,,-1.7986E-05,-0.0281407237052917,-0.547738676890731,
,,,-1.597E-05,-0.0281407237052917,-0.567839179188013,
,,,-1.3954E-05,-0.0281407237052917,-0.547738676890731,
,,,-1.19380000000001E-05,-0.0281407237052917,-0.547738676890731,
,,,-9.9220000000001E-06,-0.0281407237052917,-0.547738676890731,
,,,-7.90600000000002E-06,-0.0281407237052917,-0.547738676890731,
,,,-5.89000000000004E-06,-0.0281407237052917,-0.547738676890731,
,,,-3.87400000000006E-06,-0.0442211255431175,-0.547738676890731,
,,,-1.85800000000009E-06,0.0522612854838371,-0.547738676890731,
,,,1.57999999999994E-07,0.293467313051224,0.316582921892405,
,,,2.17399999999997E-06,0.293467313051224,0.738693470135331,
,,,4.18999999999994E-06,0.30954771488905,0.81909547932446,
,,,6.20599999999992E-06,0.293467313051224,0.859296483919024,
,,,8.2219999999999E-06,0.293467313051224,0.879396986216307,
,,,1.0238E-05,0.293467313051224,0.899497488513589,
,,,1.2254E-05,0.293467313051224,0.919597990810871,
,,,1.42699999999999E-05,0.293467313051224,0.939698493108153,
,,,1.62859999999999E-05,0.293467313051224,0.919597990810871,
,,,1.8302E-05,0.293467313051224,0.939698493108153,
,,,2.0318E-05,0.293467313051224,0.939698493108153,
,,,2.23339999999999E-05,0.293467313051224,0.939698493108153,
,,,2.43499999999999E-05,0.293467313051224,0.939698493108153,
,,,2.6366E-05,0.30954771488905,0.939698493108153,
,,,2.8382E-05,0.293467313051224,0.939698493108153,
,,,3.03979999999999E-05,0.293467313051224,0.939698493108153,
,,,3.24139999999999E-05,0.293467313051224,0.939698493108153,
,,,3.44299999999999E-05,0.293467313051224,0.939698493108153,
,,,3.6446E-05,0.293467313051224,0.939698493108153,
,,,3.8462E-05,0.293467313051224,0.939698493108153,
,,,4.04779999999999E-05,0.293467313051224,0.939698493108153,
,,,4.24939999999999E-05,0.293467313051224,0.959798995405436,
,,,4.451E-05,0.293467313051224,0.939698493108153,
,,,4.6526E-05,0.30954771488905,0.959798995405436,
,,,4.85419999999999E-05,-0.0281407237052917,0.296482419595122,
,,,5.05579999999999E-05,-0.0281407237052917,-0.487437169998884,
,,,5.25739999999999E-05,-0.0281407237052917,-0.507537672296166,
,,,5.459E-05,-0.0281407237052917,-0.507537672296166,
,,,5.6606E-05,-0.0281407237052917,-0.507537672296166,
,,,5.86219999999999E-05,-0.0281407237052917,-0.527638174593449,
,,,6.06379999999999E-05,-0.0281407237052917,-0.527638174593449,
,,,6.2654E-05,-0.0281407237052917,-0.527638174593449,
,,,6.467E-05,-0.0281407237052917,-0.527638174593449,
,,,6.66859999999999E-05,-0.0281407237052917,-0.527638174593449,
,,,6.87019999999999E-05,-0.0281407237052917,-0.547738676890731,
,,,7.0718E-05,-0.0281407237052917,-0.527638174593449,
,,,7.2734E-05,-0.0281407237052917,-0.547738676890731,
,,,7.47499999999999E-05,-0.0281407237052917,-0.547738676890731,
,,,7.67659999999999E-05,-0.0281407237052917,-0.547738676890731,
,,,7.87819999999999E-05,-0.0442211255431175,-0.527638174593449,
,,,8.0798E-05,-0.0281407237052917,-0.527638174593449,
,,,8.2814E-05,-0.0281407237052917,-0.527638174593449,
,,,8.48299999999999E-05,-0.0281407237052917,-0.527638174593449,
,,,8.68459999999999E-05,-0.0281407237052917,-0.527638174593449,
,,,8.8862E-05,-0.0281407237052917,-0.527638174593449,
,,,9.0878E-05,-0.0281407237052917,-0.547738676890731,
,,,9.28939999999999E-05,-0.0281407237052917,-0.547738676890731,
,,,9.49099999999999E-05,-0.0281407237052917,-0.527638174593449,
,,,9.69259999999999E-05,-0.0281407237052917,-0.547738676890731,
,,,9.8942E-05,-0.0442211255431175,-0.547738676890731,
,,,0.000100958,-0.0442211255431175,-0.527638174593449,
,,,0.000102974,-0.0442211255431175,-0.547738676890731,
,,,0.00010499,-0.0442211255431175,-0.547738676890731,
,,,0.000107006,-0.0442211255431175,-0.527638174593449,
,,,0.000109022,-0.0281407237052917,-0.547738676890731,
