Address:,USB0::0x0957::0x1798::MY56272288::0::INSTR,,Analog Channels,,,,Function Channels,,
Model:,DSO-X 2014A,,Time (s),2 (VOLT),3 (VOLT),,Time (s),M1,
,,,-0.000486288,0.487408310757019,-0.943541531916708,,-0.000486288,-1.42844016174786,
,,,-0.000486192,0.477358059608378,-0.93851640727371,,-0.000486192,-1.41476828837767,
,,,-0.000486096,0.486152029363438,-0.968667155131698,,-0.000486096,-1.45187765895389,
,,,-0.000486,0.478614341001958,-0.953591781202704,,-0.000486,-1.43039328651503,
,,,-0.000485904,0.479870622395538,-0.943541531916708,,-0.000485904,-1.42062766267918,
,,,-0.000485808,0.473589215427637,-0.93851640727371,,-0.000485808,-1.41086203884333,
,,,-0.000485712,0.473589215427637,-0.928466157987714,,-0.000485712,-1.40109641500749,
,,,-0.000485616,0.477358059608378,-0.9636420304887,,-0.000485616,-1.4382057855837,
,,,-0.00048552,0.477358059608378,-0.968667155131698,,-0.00048552,-1.44406515988521,
,,,-0.000485424,0.473589215427637,-0.908365659415722,,-0.000485424,-1.37961204256862,
,,,-0.000485328,0.486152029363438,-0.953591781202704,,-0.000485328,-1.4382057855837,
,,,-0.000485232,0.477358059608378,-0.933491282630712,,-0.000485232,-1.40890891407616,
,,,-0.000485136,0.476101778214797,-0.93851640727371,,-0.000485136,-1.4128151636105,
,,,-0.00048504,0.484895747969858,-0.943541531916708,,-0.00048504,-1.42648703698069,
,,,-0.000484944,0.484895747969858,-0.953591781202704,,-0.000484944,-1.43625266081654,
,,,-0.000484848,0.472332934034057,-0.943541531916708,,-0.000484848,-1.41476828837767,
,,,-0.000484752,0.473589215427637,-0.933491282630712,,-0.000484752,-1.40500266454183,
,,,-0.000484656,0.473589215427637,-0.958616905845702,,-0.000484656,-1.43039328651503,
,,,-0.00048456,0.479870622395538,-0.968667155131698,,-0.00048456,-1.44601828465238,
,,,-0.000484464,0.466051527066156,-0.93851640727371,,-0.000484464,-1.40304953977466,
,,,-0.000484368,0.467307808459736,-0.983742529060692,,-0.000484368,-1.44992453418672,
,,,-0.000484272,0.463538964278996,-0.948566656559706,,-0.000484272,-1.41086203884333,
,,,-0.000484176,0.472332934034057,-0.968667155131698,,-0.000484176,-1.4382057855837,
,,,-0.00048408,0.473589215427637,-0.933491282630712,,-0.00048408,-1.40500266454183,
,,,-0.000483984,0.459770120098256,-0.958616905845702,,-0.000483984,-1.41672141314484,
,,,-0.000483888,0.463538964278996,-0.958616905845702,,-0.000483888,-1.42062766267918,
,,,-0.000483792,0.463538964278996,-0.9636420304887,,-0.000483792,-1.42453391221352,
,,,-0.000483696,0.471076652640477,-0.958616905845702,,-0.000483696,-1.42844016174786,
,,,-0.0004836,0.461026401491836,-0.9636420304887,,-0.0004836,-1.42258078744635,
,,,-0.000483504,0.463538964278996,-0.928466157987714,,-0.000483504,-1.38937766640447,
,,,-0.000483408,0.462282682885416,-0.928466157987714,,-0.000483408,-1.38937766640447,
,,,-0.000483312,0.453488713130355,-0.93851640727371,,-0.000483312,-1.38937766640447,
,,,-0.000483216,0.454744994523935,-0.968667155131698,,-0.000483216,-1.42062766267918,
,,,-0.00048312,0.456001275917515,-0.943541531916708,,-0.00048312,-1.39719016547315,
,,,-0.000483024,0.449719868949614,-0.973692279774696,,-0.000483024,-1.42062766267918,
,,,-0.000482928,0.453488713130355,-0.943541531916708,,-0.000482928,-1.39523704070598,
,,,-0.000482832,0.444694743375294,-0.93851640727371,,-0.000482832,-1.38156516733579,
,,,-0.000482736,0.452232431736775,-0.91339078405872,,-0.000482736,-1.36398704443127,
,,,-0.00048264,0.450976150343195,-0.958616905845702,,-0.00048264,-1.406955789309,
,,,-0.000482544,0.442182180588134,-0.93851640727371,,-0.000482544,-1.37961204256862,
,,,-0.000482448,0.437157055013813,-0.968667155131698,,-0.000482448,-1.40304953977466,
,,,-0.000482352,0.440925899194553,-0.908365659415722,,-0.000482352,-1.34836204629391,
,,,-0.000482256,0.418312834110111,-0.908365659415722,,-0.000482256,-1.32492454908788,
,,,-0.00048216,0.434644492226653,-0.93851640727371,,-0.00048216,-1.37179954349995,
,,,-0.000482064,0.424594241078012,-0.958616905845702,,-0.000482064,-1.38156516733579,
,,,-0.000481968,0.424594241078012,-0.958616905845702,,-0.000481968,-1.38156516733579,
,,,-0.000481872,0.423337959684432,-0.933491282630712,,-0.000481872,-1.35422142059542,
