Address:,USB0::0x0957::0x1798::MY56272288::0::INSTR,,Analog Channels,,,
Model:,DSO-X 2014A,,Time (s),1 (VOLT),3 (VOLT),
,,,-0.0114944,-0.396984948311001,-0.608040183782578,
,,,-0.0113936,-0.401005049236119,-0.62814068607986,
,,,-0.0112928,-0.401005049236119,-0.62814068607986,
,,,-0.011192,-0.396984948311001,-0.648241188377142,
,,,-0.0110912,-0.392964847385883,-0.648241188377142,
,,,-0.0109904,0.31055281450972,-0.567839179188013,
,,,-0.0108896,0.31055281450972,0.618090456351638,
,,,-0.0107888,0.31055281450972,0.63819095864892,
,,,-0.010688,0.31055281450972,0.618090456351638,
,,,-0.0105872,0.31055281450972,0.618090456351638,
,,,-0.0104864,-0.401005049236119,-0.608040183782578,
,,,-0.0103856,-0.401005049236119,-0.648241188377142,
,,,-0.0102848,-0.396984948311001,-0.62814068607986,
,,,-0.010184,-0.396984948311001,-0.648241188377142,
,,,-0.0100832,-0.388944746460766,-0.648241188377142,
,,,-0.0099824,0.31055281450972,-0.326633151620626,
,,,-0.0098816,0.31055281450972,0.618090456351638,
,,,-0.00978080000000001,0.31055281450972,0.63819095864892,
,,,-0.00968,0.31055281450972,0.618090456351638,
,,,-0.0095792,0.31055281450972,0.618090456351638,
,,,-0.0094784,-0.401005049236119,-0.608040183782578,
,,,-0.00937760000000001,-0.401005049236119,-0.648241188377142,
,,,-0.0092768,-0.396984948311001,-0.648241188377142,
,,,-0.009176,-0.392964847385883,-0.62814068607986,
,,,-0.00907520000000001,-0.392964847385883,-0.648241188377142,
,,,-0.00897440000000001,0.31055281450972,0.417085433378816,
,,,-0.0088736,0.31055281450972,0.618090456351638,
,,,-0.0087728,0.31055281450972,0.63819095864892,
,,,-0.00867200000000001,0.31055281450972,0.63819095864892,
,,,-0.0085712,0.31055281450972,0.618090456351638,
,,,-0.0084704,-0.401005049236119,-0.608040183782578,
,,,-0.0083696,-0.401005049236119,-0.648241188377142,
